Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-12 18:41:36,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,4654,27
2024-08-12 18:41:36,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,1690,26
2024-08-12 18:41:37,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,12685,26
2024-08-12 18:41:37,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,6352,27
2024-08-12 18:41:38,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,13365,27
2024-08-12 18:41:38,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,6352,27
2024-08-12 18:41:39,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,13502,26
2024-08-12 18:41:39,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,6352,26
2024-08-12 18:41:40,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,12175,27
2024-08-12 18:41:40,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,6556,26
2024-08-12 18:41:41,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,13238,26
2024-08-12 18:41:41,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,6148,26
2024-08-12 18:41:42,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,13390,27
2024-08-12 18:41:42,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,10361,26
2024-08-12 18:41:43,162.249.72.1,192.168.1.75,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,13794,26
2024-08-12 18:41:43,192.168.1.75,162.249.72.1,UDP,GB,Greater London,London,BT,51.519304106137376,-0.1265381171205353,ADSL,17664,26
