Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-13 12:07:47,2a00:1450:4009:81e::2003,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,TCP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,86,18
2024-08-13 12:07:47,2a00:1450:4009:81f::2003,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,QUIC,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,10270,18
2024-08-13 12:07:47,2a00:1450:4009:81f::200e,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,UDP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,416,18
2024-08-13 12:07:47,2a00:1450:4009:821::2003,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,TCP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,86,18
2024-08-13 12:07:47,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:81e::2003,TCP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,75,18
2024-08-13 12:07:47,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:81f::2003,QUIC,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,6425,18
2024-08-13 12:07:47,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:81f::200e,UDP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,1613,18
2024-08-13 12:07:47,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:821::2003,TCP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,75,18
2024-08-13 12:07:48,2a00:1450:4009:820::2003,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,UDP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,1504,18
2024-08-13 12:07:48,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:820::2003,UDP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,69523,18
2024-08-13 12:07:49,2a00:1450:4009:826::200e,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,TCP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,86,18
2024-08-13 12:07:49,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:826::200e,TCP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,75,18
2024-08-13 12:07:50,2a00:1450:4009:81f::200e,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,UDP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,412,18
2024-08-13 12:07:50,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:81f::200e,UDP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,1038,18
2024-08-13 12:07:51,2a00:1450:4009:817::2008,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,TCP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,86,18
2024-08-13 12:07:51,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:817::2008,TCP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,75,18
2024-08-13 12:07:52,2a00:1450:4009:80b::200e,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,UDP,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,632,18
2024-08-13 12:07:52,2a00:1450:4009:815::200e,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,QUIC,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,11067,18
2024-08-13 12:07:52,2a00:1450:4009:81f::2003,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,QUIC,GB,England,London,AS15169 Google LLC,-0.1257,51.5085,ADSL,562,18
2024-08-13 12:07:52,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:80b::200e,UDP,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,1599,18
2024-08-13 12:07:52,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:815::200e,QUIC,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,5500,18
2024-08-13 12:07:52,2a00:23c4:53c5:bc01:41f6:2273:f4cc:2174,2a00:1450:4009:81f::2003,QUIC,GB,England,Poole,AS2856 British Telecommunications PLC,-1.9846,50.7143,ADSL,1641,18
